"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Profit","Profit_Margin"
"1","FDA15",9.3,"Low_Fat",0.016047,"Dairy",249.8092,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3735.138,3485.3288,93.312
"2","DRC01",5.92,"Regular",0.019278,"Soft Drinks",48.2692,"OUT018","2009","Medium","Tier 3","Supermarket Type2",443.4228,395.1536,89.114
"3","FDN15",17.5,"Low_Fat",0.01676,"Meat",141.618,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2097.27,1955.652,93.248
"4","FDX07",19.2,"Regular",0.0152735,"Fruits and Vegetables",182.095,"OUT010","1998","Small","Tier 3","Grocery Store",732.38,550.285,75.137
"5","NCD19",8.93,"Low_Fat",0.00808216666666667,"Household",53.8614,"OUT013","1987","High","Tier 3","Supermarket Type1",994.7052,940.8438,94.585
"6","FDP36",10.395,"Regular",0.0609283333333333,"Baking Goods",51.4008,"OUT018","2009","Medium","Tier 3","Supermarket Type2",556.6088,505.208,90.765
"7","FDO10",13.65,"Regular",0.012741,"Snack Foods",57.6588,"OUT013","1987","High","Tier 3","Supermarket Type1",343.5528,285.894,83.217
"8","FDP10",19,"Low_Fat",0.12747,"Snack Foods",107.7622,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4022.764,3915.0018,97.321
"9","FDH17",16.2,"Regular",0.016687,"Frozen Foods",96.9726,"OUT045","2002","Small","Tier 2","Supermarket Type1",1076.599,979.6264,90.993
"10","FDU28",19.2,"Regular",0.09445,"Frozen Foods",187.8214,"OUT017","2007","Small","Tier 2","Supermarket Type1",4710.535,4522.7136,96.013
"11","FDY07",11.8,"Low_Fat",0.0522341428571429,"Fruits and Vegetables",45.5402,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1516.027,1470.4868,96.996
"12","FDA03",18.5,"Regular",0.045464,"Dairy",144.1102,"OUT046","1997","Small","Tier 1","Supermarket Type1",2187.153,2043.0428,93.411
